0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
WO1-0000102-01,0.531,68.54,65.6,557.01,492.12,0.26,59.88,0.9,4672.59,7036.77,25.99,26.38,944.12,0.28,0.28,27.55,27.54,1.27,1.06,1.1,0.67,-0.03,0.69,3.41,2.59,
WO1-0000102-01,0.531,68.54,65.6,557.01,492.12,0.26,59.88,0.9,4672.59,7036.77,25.99,26.38,944.12,0.28,0.28,27.55,27.54,1.27,1.06,1.1,0.67,-0.03,0.69,3.41,2.59,
WO1-0000102-01,0.531,68.54,65.6,557.01,492.12,0.26,59.88,0.9,4672.59,7036.77,25.99,26.38,944.12,0.28,0.28,27.55,27.54,1.27,1.06,1.1,0.67,-0.03,0.69,3.41,2.59,
WO1-0000102-02,0.531,71.48,63.75,484.06,460.11,0.27,74.65,0.57,3727.55,5647.32,26.55,26.22,941.04,0.24,0.24,28.26,33.16,1.2,1.68,0.96,0.63,0.14,0.66,0.0,0.0,
WO1-0000102-02,0.531,71.48,63.75,484.06,460.11,0.27,74.65,0.57,3727.55,5647.32,26.55,26.22,941.04,0.24,0.24,28.26,33.16,1.2,1.68,0.96,0.63,0.14,0.66,0.0,0.0,
WO1-0000102-02,0.531,71.48,63.75,484.06,460.11,0.27,74.65,0.57,3727.55,5647.32,26.55,26.22,941.04,0.24,0.24,28.26,33.16,1.2,1.68,0.96,0.63,0.14,0.66,0.0,0.0,
WO1-0000102-02,0.531,71.48,63.75,484.06,460.11,0.27,74.65,0.57,3727.55,5647.32,26.55,26.22,941.04,0.24,0.24,28.26,33.16,1.2,1.68,0.96,0.63,0.14,0.66,0.0,0.0,
WO1-0000102-02,0.531,71.48,63.75,484.06,460.11,0.27,74.65,0.57,3727.55,5647.32,26.55,26.22,941.04,0.24,0.24,28.26,33.16,1.2,1.68,0.96,0.63,0.14,0.66,0.0,0.0,
WO1-0000102-02,0.531,71.48,63.75,484.06,460.11,0.27,74.65,0.57,3727.55,5647.32,26.55,26.22,941.04,0.24,0.24,28.26,33.16,1.2,1.68,0.96,0.63,0.14,0.66,0.0,0.0,
WO1-0000102-02,0.531,71.48,63.75,484.06,460.11,0.27,74.65,0.57,3727.55,5647.32,26.55,26.22,941.04,0.24,0.24,28.26,33.16,1.2,1.68,0.96,0.63,0.14,0.66,0.0,0.0,
WO1-0000102-02,0.531,71.48,63.75,484.06,460.11,0.27,74.65,0.57,3727.55,5647.32,26.55,26.22,941.04,0.24,0.24,28.26,33.16,1.2,1.68,0.96,0.63,0.14,0.66,0.0,0.0,
WO1-0000102-02,0.531,71.48,63.75,484.06,460.11,0.27,74.65,0.57,3727.55,5647.32,26.55,26.22,941.04,0.24,0.24,28.26,33.16,1.2,1.68,0.96,0.63,0.14,0.66,0.0,0.0,
WO1-0000102-02,0.531,71.48,63.75,484.06,460.11,0.27,74.65,0.57,3727.55,5647.32,26.55,26.22,941.04,0.24,0.24,28.26,33.16,1.2,1.68,0.96,0.63,0.14,0.66,0.0,0.0,
WO1-0000103-01,0.362,149.39,102.73,619.36,624.82,0.56,235.63,0.69,1203.33,2193.01,40.32,41.23,864.09,0.33,0.33,59.87,72.27,1.21,1.83,0.34,0.4,0.55,0.41,25.3,17.56,
WO1-0000103-01,0.362,149.39,102.73,619.36,624.82,0.56,235.63,0.69,1203.33,2193.01,40.32,41.23,864.09,0.33,0.33,59.87,72.27,1.21,1.83,0.34,0.4,0.55,0.41,25.3,17.56,
WO1-0000103-01,0.362,149.39,102.73,619.36,624.82,0.56,235.63,0.69,1203.33,2193.01,40.32,41.23,864.09,0.33,0.33,59.87,72.27,1.21,1.83,0.34,0.4,0.55,0.41,25.3,17.56,
WO1-0000103-01,0.362,149.39,102.73,619.36,624.82,0.56,235.63,0.69,1203.33,2193.01,40.32,41.23,864.09,0.33,0.33,59.87,72.27,1.21,1.83,0.34,0.4,0.55,0.41,25.3,17.56,
WO1-0000103-01,0.362,149.39,102.73,619.36,624.82,0.56,235.63,0.69,1203.33,2193.01,40.32,41.23,864.09,0.33,0.33,59.87,72.27,1.21,1.83,0.34,0.4,0.55,0.41,25.3,17.56,
WO1-0000103-01,0.362,149.39,102.73,619.36,624.82,0.56,235.63,0.69,1203.33,2193.01,40.32,41.23,864.09,0.33,0.33,59.87,72.27,1.21,1.83,0.34,0.4,0.55,0.41,25.3,17.56,
WO1-0000103-01,0.362,149.39,102.73,619.36,624.82,0.56,235.63,0.69,1203.33,2193.01,40.32,41.23,864.09,0.33,0.33,59.87,72.27,1.21,1.83,0.34,0.4,0.55,0.41,25.3,17.56,
WO1-0000103-01,0.362,149.39,102.73,619.36,624.82,0.56,235.63,0.69,1203.33,2193.01,40.32,41.23,864.09,0.33,0.33,59.87,72.27,1.21,1.83,0.34,0.4,0.55,0.41,25.3,17.56,
WO1-0000103-01,0.362,149.39,102.73,619.36,624.82,0.56,235.63,0.69,1203.33,2193.01,40.32,41.23,864.09,0.33,0.33,59.87,72.27,1.21,1.83,0.34,0.4,0.55,0.41,25.3,17.56,
WO1-0000103-01,0.362,149.39,102.73,619.36,624.82,0.56,235.63,0.69,1203.33,2193.01,40.32,41.23,864.09,0.33,0.33,59.87,72.27,1.21,1.83,0.34,0.4,0.55,0.41,25.3,17.56,
WO1-0000103-02,0.362,125.71,108.39,652.61,556.24,0.57,245.25,0.58,1051.88,1613.25,40.39,39.82,805.12,0.32,0.32,64.73,58.4,0.95,2.34,0.36,0.41,0.59,0.43,0.0,0.0,
WO1-0000103-02,0.362,125.71,108.39,652.61,556.24,0.57,245.25,0.58,1051.88,1613.25,40.39,39.82,805.12,0.32,0.32,64.73,58.4,0.95,2.34,0.36,0.41,0.59,0.43,0.0,0.0,
WO1-0000103-02,0.362,125.71,108.39,652.61,556.24,0.57,245.25,0.58,1051.88,1613.25,40.39,39.82,805.12,0.32,0.32,64.73,58.4,0.95,2.34,0.36,0.41,0.59,0.43,0.0,0.0,
WO1-0000103-02,0.362,125.71,108.39,652.61,556.24,0.57,245.25,0.58,1051.88,1613.25,40.39,39.82,805.12,0.32,0.32,64.73,58.4,0.95,2.34,0.36,0.41,0.59,0.43,0.0,0.0,
WO1-0000103-02,0.362,125.71,108.39,652.61,556.24,0.57,245.25,0.58,1051.88,1613.25,40.39,39.82,805.12,0.32,0.32,64.73,58.4,0.95,2.34,0.36,0.41,0.59,0.43,0.0,0.0,
WO1-0000103-02,0.362,125.71,108.39,652.61,556.24,0.57,245.25,0.58,1051.88,1613.25,40.39,39.82,805.12,0.32,0.32,64.73,58.4,0.95,2.34,0.36,0.41,0.59,0.43,0.0,0.0,
WO1-0000103-02,0.362,125.71,108.39,652.61,556.24,0.57,245.25,0.58,1051.88,1613.25,40.39,39.82,805.12,0.32,0.32,64.73,58.4,0.95,2.34,0.36,0.41,0.59,0.43,0.0,0.0,
WO1-0000103-02,0.362,125.71,108.39,652.61,556.24,0.57,245.25,0.58,1051.88,1613.25,40.39,39.82,805.12,0.32,0.32,64.73,58.4,0.95,2.34,0.36,0.41,0.59,0.43,0.0,0.0,
WO1-0000103-02,0.362,125.71,108.39,652.61,556.24,0.57,245.25,0.58,1051.88,1613.25,40.39,39.82,805.12,0.32,0.32,64.73,58.4,0.95,2.34,0.36,0.41,0.59,0.43,0.0,0.0,
WO1-0000103-02,0.362,125.71,108.39,652.61,556.24,0.57,245.25,0.58,1051.88,1613.25,40.39,39.82,805.12,0.32,0.32,64.73,58.4,0.95,2.34,0.36,0.41,0.59,0.43,0.0,0.0,
WO1-0000104-01,0.4,117.64,115.19,728.35,632.51,0.48,289.03,0.68,883.49,1381.68,33.51,33.25,728.61,0.28,0.28,83.5,67.05,1.31,1.62,0.4,0.34,0.61,0.43,4.68,4.6,
